會計科目,1308 亞聚 (上市塑膠工業)
　　　現金及約當現金,763936
　　　透過損益按公允價值衡量之金融資產－流動,1118714
　　　透過其他綜合損益按公允價值衡量之金融資產－流動,44346
　　　應收帳款淨額,990914
　　　應收帳款－關係人淨額,428395
　　　其他應收款淨額,17867
　　　其他應收款－關係人淨額,1829
　　　存貨,584086
　　　預付款項,148731
　　　其他流動資產,110
　　流動資產合計,4098928
　　　透過其他綜合損益按公允價值衡量之金融資產－非流動,4206995
　　　按攤銷後成本衡量之金融資產－非流動,21786
　　　採用權益法之投資,6634522
　　　不動產、廠房及設備,3376590
　　　使用權資產,8143
　　　投資性不動產淨額,511258
　　　遞延所得稅資產,104798
　　　其他非流動資產,15526
　　非流動資產合計,14879618
　資產總額,18978546
　　　短期借款,500000
　　　透過損益按公允價值衡量之金融負債－流動,860
　　　應付帳款,218770
　　　應付帳款－關係人,79397
　　　其他應付款,230736
　　　其他應付款項－關係人,207259
　　　本期所得稅負債,665205
　　　租賃負債－流動,5765
　　　其他流動負債,34085
　　流動負債合計,1942077
　　　長期借款,1369746
　　　遞延所得稅負債,30601
　　　租賃負債－非流動,21530
　　　其他非流動負債,152543
　　非流動負債合計,1574420
　負債總額,3516497
　　　　普通股股本,5937438
　　　股本合計,5937438
　　　資本公積合計,35319
　　　　法定盈餘公積,1906008
　　　　特別盈餘公積,565379
　　　　未分配盈餘（或待彌補虧損）,5139359
　　　保留盈餘合計,7610746
　　　其他權益合計,1878546
　　歸屬於母公司業主之權益合計,15462049
　權益總額,15462049
　負債及權益總計,18978546
　待註銷股本股數（單位：股）,0
　預收股款（權益項下）之約當發行股數（單位：股）,0
　母公司暨子公司所持有之母公司庫藏股股數（單位：股）,0